dutyName,dutyTel3,hpid,hv10,hv11,hv13,hv14,hv16,hv17,hv18,hv19,hv21,hv22,hv23,hv24,hv25,hv26,hv28,hv29,hv30,hv31,hv35,hv36,hv40,hv41,hv42,hv43,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvicc,hvidate,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs08,hvs17,hvs18,hvs19,hvs22,hvs24,hvs25,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs36,hvs37,hvs38,hvs46,hvs47,hvs49,hvs50,hvs51,hvs52,hvs53,hvs54,hvs55,hvs56,hvs57,hvs58,hvventiayn,hvventisoayn,phpid,rnum,hv2,hv3,hv34,hvs06,hvs07,hvs15,hv27,hvs59,hvccc,hvs16,query_sido,query_sigungu,hvcc,hvs11,hv61,hvs61,hv6,hvs12,hv32,hvs09,hv15,hv33,hv37,hvs10,hvs20,hvs48,hv38,hv9,hvs14,hvs21,hv39,hv60,hvs23,hvs60
학교법인을지학원의정부을지대학교병원,031-8074-0119,A2117994,Y,Y,,,,,,,,,,,,,0,1,2,,2,,9,3,Y,,Y,Y,Y,Y,Y,Y,10,Y,243,Y,,20260524122101,Y,Y,3,12,N1,22,0,1,2,,5,,2,,14,22,6,8,3,3,4,48,5,5,6,3,2,,,588,,,,,,,,,,,,,Y,Y,A2117994,2,7,4,,29,22,,3,4,,,경기도,의정부시,,,0,0,,,,,,,,,,,,,,,,0,,0
의료법인영동의료재단의정부백병원,031-842-1211,A2100034,,,,,,,,,,,,,,,,,2,,,,,,,,Y,,Y,N1,N1,Y,7,N1,93,N1,0,20260524122411,N1,Y,,3,N1,10,,,2,,,9,,,3,,,,1,1,,1,,,,,,,,192,,,,,,,,,,,,,Y,N1,A2100034,3,,,,,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,
추병원,031-845-8313,A2100150,,,,,,,,,,,,,,,,1,1,,,,,,,,Y,Y,Y,Y,N1,Y,11,N1,74,N1,2,20260524122521,N1,N,,3,N1,12,,1,1,,,15,,,3,,,,2,1,1,1,,,,,,,,210,,,,,,,,,,,,,Y,N1,A2100150,4,,,,,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,
경기도의료원의정부병원,031-828-5119,A2100043,,,,,,,,,,,,,,0,,1,,,,,20,4,,,Y,,Y,N1,N1,Y,9,N1,27,N1,2,20260524122502,N1,Y,,3,N1,10,,1,,,,6,,,3,70,5,,1,1,,8,,,,,,,,86,,,,,,,,,,,,0,Y,N1,A2100043,5,,,,,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,
경기도의료원이천병원,031-630-4333,A2100193,,,,,,,,,,,,,,,,1,2,,2,,,6,,,Y,,Y,N1,N1,Y,10,N1,64,N1,3,20260524122402,N1,Y,,4,N1,17,,1,2,,,8,2,,4,,6,,1,1,,8,,,,,,,,190,,,,,,,,,,,,,Y,N1,A2100193,1,,,,,,,,,,,경기도,이천시,,,,,,,,,,,,,,,,,,,,,,
경기도의료원파주병원,031-940-9119,A2100035,,,,,,,,,,,,,,,,1,2,,,,,,Y,,Y,,Y,N1,N1,Y,12,N1,90,N1,4,20260524122401,N1,Y,,3,N1,17,,1,2,,,8,,,3,,,1,1,1,,9,,,,,,,,192,,,,,,,,,,,,,Y,N1,A2100035,1,,,,,,,,,,,경기도,파주시,,,,,,,,,,,,,,,,,,,,,,
메디인병원,031-570-7912,A2100131,,,,,,,,,,,,,,,,,2,,,,,,,,Y,Y,Y,Y,N1,Y,6,N1,68,N1,,20260524122425,N1,Y,,4,N1,12,,,2,,,,,,4,,,,1,1,1,2,,,,,,,,206,,,,,,,,,,,,,Y,N1,A2100131,2,,,,,,,,,,,경기도,파주시,,,,,,,,,,,,,,,,,,,,,,
의료법인백송의료재단굿모닝병원,031-5182-7582,A2100028,,,,,,,,,,,,,,,,2,1,,0,,,,,,Y,Y,Y,Y,Y,Y,10,Y,103,N1,0,20260524122421,N1,Y,,7,Y,19,,2,1,,,27,3,,7,,,,5,3,3,23,,,5,3,,,1,392,,,,,,,,,,,,,Y,N1,A2100028,1,,,,,,,4,6,,,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,
의료법인양진의료재단평택성모병원,070-5012-0119,A2113246,,,,,,,,,,,,,,0,,1,2,,2,,,,,,Y,Y,Y,Y,Y,Y,11,N1,55,N1,3,20260524122239,N1,Y,,6,N1,17,,1,2,,,34,2,,6,,,,3,3,2,8,,,2,,,,,329,,,,,,,,,,,,0,Y,N1,A2113246,2,,,,,,,,,,,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,
의료법인갈렌의료재단박병원,031-662-4119,A2100309,,,,,,,,,,,,,,,,,1,,,,,,,,Y,,Y,N1,N1,Y,8,N1,38,N1,0,20260524122504,N1,Y,,2,N1,10,,,1,,,10,,,2,,,,1,2,,3,,,,,,,,143,,,,,,,,,,,,,Y,N1,A2100309,3,,,,,,,,,,,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,
의료법인박애의료재단박애병원,031-650-9219,A2100022,,,,,,,,,,,,,,,,,1,,,,,,,,Y,,Y,N1,Y,Y,8,N1,106,N1,7,20260524122351,N1,Y,,5,N1,10,,,1,,,10,,,5,,,,2,1,,20,,,2,,,,,193,,,,,,,,,,,,,Y,N1,A2100022,4,,,,,,,,,,,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,
경기도의료원포천병원,031-539-9119,A2100031,,Y,,,,,,,,,,,,,,1,2,,0,,,2,Y,,Y,,Y,N1,N1,Y,15,N1,47,N1,3,20260524122501,Y,Y,,4,N1,17,,1,2,,,10,0,,4,,3,3,1,1,,7,,2,,,,,,137,,,,,,,,,,,,,Y,N1,A2100031,1,,,,,,,,,,,경기도,포천시,,,,,,,,,,,,,,,,,,,,,,
의료법인 일심의료재단 포천우리병원,031-541-8282,A2100036,,,,,,,,,,,,,,,,1,3,,2,,,2,,,Y,Y,Y,Y,Y,Y,16,N1,98,N1,14,20260524122245,N1,Y,,5,N1,18,,1,3,,,18,2,,5,,2,,2,2,1,14,,,3,,,,,201,,,,,,,,,,,,,Y,N1,A2100036,2,,,,,,,,,,,경기도,포천시,,,,,,,,,,,,,,,,,,,,,,
한림대학교동탄성심병원,031-8086-2119,A2100046,Y,Y,2,0,,,,,,,,,,,9,,,,7,,,4,Y,Y,Y,Y,Y,Y,Y,Y,13,Y,226,Y,,20260524122528,Y,Y,10,20,Y,32,9,,,,13,,11,,20,,11,1,6,3,6,50,5,14,17,2,2,1,1,515,3,0,,,,,,,,,,,Y,Y,A2100046,1,15,0,3,28,13,9,,,,,경기도,화성시,0,13,,,,,,,,,,,,,,,,,,,,
의료법인은혜와감사의료재단화성중앙종합병원,031-371-7998,A2100018,,,,,,,,,,,,,,,,,1,,,,,,,,Y,,Y,N1,N1,Y,5,N1,62,N1,2,20260524122247,N1,Y,,3,N1,9,,,1,,,8,,,3,,,,1,1,,3,,,,,,,,131,,,,,,,,,,,,,Y,N1,A2100018,2,,,,,,,,,,,경기도,화성시,,,,,,,,,,,,,,,,,,,,,,
의료법인원광의료재단원광종합병원,031-8077-7219,A2115699,,,,,,,,,,,,,,,,1,,,,,,,,,Y,,Y,N1,N1,Y,8,N1,26,N1,1,20260524121529,N1,Y,,4,N1,9,,1,,,,9,,,4,,,,1,2,,4,,,,,,,,135,,,,,,,,,,,,,Y,N1,A2115699,3,,,,,,,,,,,경기도,화성시,,,,,,,,,,,,,,,,,,,,,,
