dutyName,dutyTel3,hpid,hv10,hv11,hv17,hv18,hv2,hv28,hv29,hv3,hv30,hv31,hv36,hv42,hv5,hv7,hvamyn,hvangioayn,hvcrrtayn,hvctayn,hvec,hvecmoayn,hvgc,hvhypoayn,hvidate,hvincuayn,hvmriayn,hvncc,hvoc,hvoxyayn,hvs01,hvs02,hvs03,hvs04,hvs05,hvs06,hvs07,hvs08,hvs19,hvs22,hvs26,hvs27,hvs28,hvs29,hvs30,hvs31,hvs32,hvs33,hvs34,hvs35,hvs37,hvs38,hvs50,hvs51,hvventiayn,hvventisoayn,phpid,rnum,hv35,hv40,hvicc,hvs17,hvs18,hvs24,hv26,hv41,hvs25,hvs58,query_sido,query_sigungu,hv27,hvs59,hv24,hv25,hv38,hv39,hv6,hv60,hv61,hv9,hvs12,hvs14,hvs21,hvs23,hvs56,hvs57,hvs60,hvs61,hv43,hvs36,hv13,hv14,hvcc,hvs11,hvs46,hvs47,hv32,hv34,hvs09,hvs15,hv16,hv19,hv21,hv22,hv23,hvs49,hvs52,hvs53,hvs54,hvs55,hvccc,hvs16,hv15,hv33,hv37,hvs10,hvs20,hvs48
고려대학교의과대학부속안산병원,031-412-5381,A2100003,Y,Y,1,,0,4,,4,2,1,17,Y,Y,Y,Y,Y,Y,Y,6,Y,85,Y,20260526115508,Y,Y,5,6,N1,22,4,,3,18,10,13,25,30,20,2,3,4,4,66,15,19,8,5,3,,605,2,,Y,Y,A2100003,1,0,12,2,6,1,16,,6,10,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,,,,,,,,,,,,,,,,,,,,,,
대아의료재단한도병원,031-8040-1129,A2100017,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,15,N1,84,N1,20260526115434,N1,Y,,3,N1,17,,1,2,,,,,,6,,3,2,2,20,,,2,,,,343,,,Y,N1,A2100017,2,0,,7,29,1,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인플러스의료재단단원병원,031-8040-5911,A2100021,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,15,Y,94,N1,20260526115155,N1,Y,,4,N1,17,,1,2,,,,,,5,,1,1,2,8,,,2,1,,,342,,,Y,N1,A2100021,3,1,,11,27,1,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
근로복지공단안산병원,031-500-1119,A2100014,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,6,N1,104,N1,20260526115400,N1,Y,,3,N1,7,,,1,,,,,,3,,1,1,,14,,,,,,,359,,,Y,N1,A2100014,4,1,,13,18,1,,,0,2,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인칠석의료재단사랑의병원,031-502-0119,A2100124,,,,,,,1,,,,,,Y,,Y,N1,Y,Y,7,N1,38,N1,20260526114903,N1,Y,,2,N1,13,,1,,,,,,,5,,2,2,,8,,,1,,,,206,,,Y,N1,A2100124,5,,,0,14,,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도의료원안성병원,031-8046-5119,A2100045,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,12,N1,61,N1,20260526115501,N1,Y,,2,N1,14,,1,,,,,,,5,,1,1,,8,,,,,,,178,,,Y,N1,A2100045,1,1,,6,13,2,,,7,8,,경기도,안성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안성성모병원,031-675-8275,A2100305,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,7,N1,80,N1,20260526115419,N1,Y,,1,N1,9,,,1,,,,,,3,,1,1,,7,,,,,,,188,,,Y,N1,A2100305,2,,,7,20,,,,,,,경기도,안성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한림대학교성심병원,031-380-1500,A2100004,Y,Y,1,,0,2,2,3,3,1,21,Y,Y,Y,Y,Y,Y,Y,8,Y,155,Y,20260526115427,Y,Y,7,5,N1,25,3,2,4,19,27,16,9,30,19,2,4,3,6,68,9,10,17,12,1,,610,1,,Y,Y,A2100004,1,1,7,,,3,20,,0,14,,경기도,안양시,,,,,,,,,,,,,,,,,,,Y,1,5,,1,8,5,,,,,,,,,,,,,,,,6,18,,,,,,
효산의료재단안양샘병원,031-467-9119,A2100015,,,,,1,,1,0,2,,,,Y,Y,Y,Y,Y,Y,7,Y,82,N1,20260526115047,N1,Y,,3,N1,17,,1,2,,8,9,,,6,,2,1,2,12,,,2,1,,,306,,,Y,N1,A2100015,2,1,,,,1,,,,,,경기도,안양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양주한양병원,031-510-0119,A2100041,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,16,N1,71,N1,20260526115527,N1,Y,,,N1,17,,1,2,,,,,,,,2,2,1,33,,,2,,,,244,,,Y,N1,A2100041,1,7,,1,17,23,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
현대병원,031-574-0114,A2100037,,,,,,,3,,,,,,Y,Y,Y,Y,Y,Y,10,N1,93,Y,20260526115318,N1,Y,,6,N1,17,,3,,,,,,,7,,2,2,2,50,,,17,,2,,342,,,Y,N1,A2100037,2,5,,1,19,20,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
엘병원,031-527-6119,A2118188,,,,,,,,,2,,,,Y,,Y,N1,N1,Y,8,N1,36,N1,20260526115528,N1,Y,,2,N1,8,,,2,,,,,,3,,1,1,,2,,,,,,,146,,,Y,N1,A2118188,3,0,,1,8,1,,,0,1,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양평병원,031-770-5119,A2100089,N,N,,,,,,,1,,,N,Y,N,Y,N,N,Y,5,N,35,N,20260526115001,N,Y,,3,N,9,,,1,,,,,,3,0,1,1,0,1,0,0,0,0,0,0,90,,,Y,N,A2100089,1,,,,,,,,,,,경기도,양평군,,,,,,,,,,,,,,,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세종여주병원,031-880-7754,A2100194,,,,,,,,,4,,,,Y,,Y,N1,N1,Y,6,N1,113,N1,20260526115502,N1,Y,,1,N1,6,,,4,,,,,,2,,1,1,,4,,,,,,,196,,,Y,N1,A2100194,1,,,,,,,,,,,경기도,여주시,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,
연천군보건의료원,031-839-4119,E2100187,,,,,,,,,,,,,Y,,Y,N1,N1,Y,10,N1,50,N1,20260526115309,N1,N1,,2,N1,10,,,,,,,,,2,,1,,,1,,,,,,,52,,,Y,N1,E2100187,1,,,,,,,,,,,경기도,연천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오산한국병원,031-378-5119,A2100024,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,14,N1,46,Y,20260526115249,N1,Y,,3,N1,17,,1,2,,,,,,5,,2,2,2,17,,,2,,1,,262,,,Y,N1,A2100024,1,1,,2,34,1,,,2,2,,경기도,오산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연세대학교의과대학용인세브란스병원,031-5189-9001,A2100020,Y,Y,,,0,3,1,0,2,,,Y,Y,Y,Y,Y,Y,Y,5,Y,87,Y,20260526115316,Y,Y,1,6,N1,16,6,1,3,,19,16,12,,15,2,3,3,4,31,6,18,6,3,4,,597,,,Y,Y,A2100020,1,2,,,,2,,,4,4,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강남병원,031-300-0119,A2100029,,,,,,,1,,2,,,,Y,,Y,N1,Y,Y,12,N1,56,N1,20260526115317,N1,Y,,3,N1,17,,1,2,,,,,,4,,2,2,,7,,,2,,,,267,,,Y,N1,A2100029,2,1,,5,31,1,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(의)영문의료재단 다보스병원,031-8021-2130,A2100019,,,,,,,1,,2,,,,Y,,Y,N1,Y,Y,8,N1,31,N1,20260526115511,N1,Y,,4,N1,13,,1,2,,,,,,6,,1,1,,7,,,1,,,,225,,,Y,N1,A2100019,3,1,,1,25,1,,,,,,경기도,용인시,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(의)효심의료재단용인서울병원,031-336-0119,A2100122,,,,,,,,,,,,,Y,,Y,N1,N1,Y,8,N1,144,N1,20260526115514,N1,Y,,3,N1,10,,,,,,,,,3,,1,1,,1,,,,,,,201,,,Y,N1,A2100122,4,,,,,,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메디필드한강병원,031-332-1119,A2121142,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,16,N1,158,N1,20260526115505,N1,Y,,6,N1,17,,1,2,,,,,,6,,3,2,1,13,,,2,,,,192,,,Y,N1,A2121142,5,1,,10,15,1,,,1,1,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가톨릭대학교의정부성모병원,031-820-5200,A2100040,Y,Y,0,0,,11,2,,4,-1,13,Y,Y,Y,Y,Y,Y,Y,8,Y,176,Y,20260526115508,Y,Y,0,2,N1,42,11,2,4,18,,,15,30,13,3,4,3,4,54,10,28,12,4,3,,519,1,1,Y,Y,A2100040,1,0,,0,26,4,,,,,,경기도,의정부시,,,,,9,1,,2,5,0,,20,53,2,,,2,6,,,,,,,,,,0,,6,,,,,,,,,,,,,,,,,,
학교법인을지학원의정부을지대학교병원,031-8074-0119,A2117994,Y,Y,,,0,0,1,-1,2,,,Y,Y,Y,Y,Y,Y,Y,16,Y,160,Y,20260526115101,Y,Y,3,2,N1,22,0,1,2,,29,22,5,,14,8,3,3,4,48,5,5,6,3,2,,588,,,Y,Y,A2117994,2,2,8,,,2,22,,1,6,,경기도,의정부시,1,4,,,,,,0,0,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인영동의료재단의정부백병원,031-842-1211,A2100034,,,,,,,,,2,,,,Y,,Y,N1,N1,Y,8,N1,84,N1,20260526115356,N1,Y,,2,N1,10,,,2,,,,,,3,,1,1,,1,,,,,,,192,,,Y,N1,A2100034,3,,,0,9,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
추병원,031-845-8313,A2100150,,,,,,,1,,1,,,,Y,Y,Y,Y,N1,Y,10,N1,73,N1,20260526115522,N1,Y,,3,N1,12,,1,1,,,,,,3,,2,1,1,1,,,,,,,210,,,Y,N1,A2100150,4,,,2,15,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도의료원의정부병원,031-828-5119,A2100043,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,10,N1,25,N1,20260526115501,N1,Y,,3,N1,10,,1,,,,,,,3,,1,1,,8,,,,,,,86,,,Y,N1,A2100043,5,,18,2,6,,70,0,2,5,0,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도의료원이천병원,031-630-4333,A2100193,,,,,,,1,,1,,,,Y,,Y,N1,N1,Y,15,N1,59,N1,20260526115402,N1,Y,,4,N1,17,,1,2,,,,,,4,,1,1,,8,,,,,,,190,,,Y,N1,A2100193,1,2,,0,8,2,,,6,6,,경기도,이천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도의료원파주병원,031-940-9119,A2100035,,,,,,,1,,2,,,Y,Y,,Y,N1,N1,Y,12,N1,78,N1,20260526115402,N1,Y,,3,N1,17,,1,2,,,,,,3,1,1,1,,9,,,,,,,192,,,Y,N1,A2100035,1,,,3,8,,,,,,,경기도,파주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메디인병원,031-570-7912,A2100131,,,,,,,,,2,,,,Y,Y,Y,Y,N1,Y,6,N1,59,N1,20260526115510,N1,Y,,3,N1,12,,,2,,,,,,4,,1,1,1,2,,,,,,,206,,,Y,N1,A2100131,2,,,,,,,,,,,경기도,파주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인백송의료재단굿모닝병원,031-5182-7582,A2100028,,,,,,,2,,1,,,,Y,Y,Y,Y,Y,Y,8,Y,85,N1,20260526115401,N1,Y,,1,Y,19,,2,1,,,,,,7,,5,3,3,23,,,5,3,,1,392,,,Y,N1,A2100028,1,0,,3,27,3,,,,,,경기도,평택시,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인양진의료재단평택성모병원,070-5012-0119,A2113246,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,11,N1,40,N1,20260526115352,N1,Y,,6,N1,17,,1,2,,,,,,6,,3,3,2,8,,,2,,,,329,,,Y,N1,A2113246,2,2,,-1,34,2,,0,,,0,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인갈렌의료재단박병원,031-662-4119,A2100309,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,10,N1,40,N1,20260526115503,N1,Y,,0,N1,10,,,1,,,,,,2,,1,2,,3,,,,,,,143,,,Y,N1,A2100309,3,,,2,10,,,,,,,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인박애의료재단박애병원,031-650-9219,A2100022,,,,,,,,,1,,,,Y,,Y,N1,Y,Y,8,N1,99,N1,20260526115128,N1,Y,,5,N1,10,,,1,,,,,,5,,2,1,,20,,,2,,,,193,,,Y,N1,A2100022,4,,,5,10,,,,,,,경기도,평택시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기도의료원포천병원,031-539-9119,A2100031,,Y,,,,,1,,2,,,Y,Y,,Y,N1,N1,Y,16,N1,47,N1,20260526115502,Y,Y,,4,N1,17,,1,2,,,,,,4,3,1,1,,7,,2,,,,,137,,,Y,N1,A2100031,1,0,,2,10,0,,,1,3,,경기도,포천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인 일심의료재단 포천우리병원,031-541-8282,A2100036,,,,,,,1,,3,,,,Y,Y,Y,Y,Y,Y,17,N1,88,N1,20260526115414,N1,Y,,2,N1,18,,1,3,,,,,,5,,2,2,1,14,,,3,,,,201,,,Y,N1,A2100036,2,2,,14,18,2,,,2,2,,경기도,포천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한림대학교동탄성심병원,031-8086-2119,A2100046,Y,Y,,,6,9,,0,,,,Y,Y,Y,Y,Y,Y,Y,14,Y,128,Y,20260526115508,Y,Y,10,7,Y,32,9,,,,28,13,13,,20,1,6,3,6,50,8,16,17,5,5,1,515,,,Y,Y,A2100046,1,7,,,,11,,,6,4,,경기도,화성시,,,,,,,,,,,,,,,,,,,Y,1,2,0,0,13,3,0,,2,,9,,,,,,,,,,,,,,,,,,
의료법인은혜와감사의료재단화성중앙종합병원,031-371-7998,A2100018,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,8,N1,54,N1,20260526115406,N1,Y,,2,N1,9,,,1,,,,,,3,,1,1,,3,,,,,,,131,,,Y,N1,A2100018,2,,,1,8,,,,,,,경기도,화성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인원광의료재단원광종합병원,031-8077-7219,A2115699,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,8,N1,23,N1,20260526115348,N1,Y,,3,N1,9,,1,,,,,,,4,,1,2,,4,,,,,,,135,,,Y,N1,A2115699,3,,,0,9,,,,,,,경기도,화성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인 거붕 백병원,055-733-0180,A2800008,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,5,N1,47,N1,20260526115445,N1,Y,,3,N1,9,,,1,,,,,,4,,2,2,,12,,,,,,,365,,,Y,N1,A2800008,1,,,5,20,,,,,,,경상남도,거제시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인 대우의료재단대우병원,055-680-8119,A2800005,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,8,N1,43,N1,20260526115213,N1,Y,,2,N1,9,,,1,,,,,,4,,2,1,,5,,,,,,,231,,,Y,N1,A2800005,2,,,2,10,,,,,,,경상남도,거제시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인 성념의료재단맑은샘병원,055-736-0119,A2800022,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,9,N1,13,N1,20260526115004,N1,Y,,2,N1,9,,,1,,,,,,2,,1,1,,4,,,,,,,200,,,Y,N1,A2800022,3,,,,,,,,,,,경상남도,거제시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
거창적십자병원,055-949-3359,A2800076,,Y,,,,,,,1,,,Y,Y,,Y,N1,N1,Y,9,N1,36,N1,20260526115318,Y,Y,,2,N1,9,,,1,,,,,,2,1,1,1,,2,,2,,,,,91,,,Y,N1,A2800076,1,,,,,,,,,,,경상남도,거창군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강병원,055-673-4848,A2800032,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,9,N1,35,N1,20260526115214,N1,Y,,1,N1,9,,,1,,,,,,1,,1,1,,1,,,,,,,99,,,Y,N1,A2800032,1,,,,,,,,,,,경상남도,고성군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인환명의료재단 조은금강병원,055-330-0200,A2800010,,,,,,,1,,2,,,,Y,Y,Y,Y,N1,Y,15,N1,103,N1,20260526115431,N1,Y,,4,Y,17,,1,2,,,,,,4,,1,2,1,7,,,,,,2,305,,,Y,N1,A2800010,1,1,5,11,23,1,96,,,,,경상남도,김해시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인숭인의료재단 김해복음병원,055-330-8844,A2800006,,,,,,,1,,3,,,,Y,Y,Y,Y,Y,Y,16,N1,30,N1,20260526115233,N1,Y,,3,N1,16,,1,3,,,,,,5,,2,3,1,3,,,3,,,,359,,,Y,N1,A2800006,2,0,,5,18,1,,,,,,경상남도,김해시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강일병원,055-822-0119,A2803677,,,,,,,1,,2,,,,Y,Y,Y,Y,N1,Y,6,N1,138,N1,20260526115305,N1,Y,,5,N1,8,,1,2,,,,,,5,,1,2,1,1,,,,,,,276,,,Y,N1,A2803677,3,,,13,15,,,,,,,경상남도,김해시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인갑을의료재단 갑을장유병원,055-310-6119,A2800014,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,7,N1,45,N1,20260526115525,N1,Y,,4,N1,9,,1,,,,,,,4,,1,1,,1,,,,,,,210,,,Y,N1,A2800014,4,,,,,,,,,,,경상남도,김해시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인 이도의료재단 남해병원,055-860-6630,A2800094,N,N,,,,,1,,1,,,N,Y,N,Y,N,N,Y,8,N,73,N,20260526114546,N,Y,,2,N,,,,,,,,,,,,,,,,,,,,,,,,,N,N,A2800094,1,,,,,,,,,,,경상남도,남해군,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밀양병원,055-356-9119,A2800113,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,6,N1,39,N1,20260526115135,N1,Y,,0,N1,8,,,1,,,,,,0,,1,1,,1,,,,,,,200,,,Y,N1,A2800113,1,,,,,,,,,,,경상남도,밀양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인승연의료재단 삼천포서울병원,055-830-9019,A2800068,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,9,N1,21,N1,20260526114920,N1,Y,,3,Y,9,,,1,,,,,,3,,1,2,,4,,,,,,1,279,,,Y,N1,A2800068,1,,,,,,,,,,,경상남도,사천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼천포제일병원,055-830-3099,A2800101,,,,,,,,,2,,,,Y,,Y,N1,N1,Y,8,N1,74,N1,20260526115356,N1,Y,,2,Y,8,,,2,,,,,,2,,1,1,,1,,,,,,1,214,,,Y,N1,A2800101,2,,,,,,,,,,,경상남도,사천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산청군보건의료원,055-970-7582,E2800380,,,,,,,,,1,,,,,,Y,N1,N1,N1,5,N1,20,N1,20260526115501,N1,N1,,,N1,5,,,1,,,,,,,,,,,1,,,,,,,20,,,Y,N1,E2800380,1,,,,,,,,,,,경상남도,산청군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양산부산대학교병원,055-360-1463,A2800011,Y,Y,2,1,6,1,,5,1,3,24,Y,Y,Y,Y,Y,Y,Y,-2,Y,261,Y,20260526115327,Y,Y,10,6,N1,23,8,,1,16,16,11,38,30,25,4,6,5,6,92,24,23,19,12,2,,766,2,2,Y,Y,A2800011,1,0,11,,,0,33,,4,4,,경상남도,양산시,,,,4,,,1,,,,9,,,,,4,,,,,2,1,,,2,3,6,,11,,1,,,0,0,1,,,0,0,6,10,1,2,1,2,6,1
양산성모병원,055-912-9785,A2804593,,,,,,,1,,,,,,Y,,Y,N1,N1,Y,10,N1,124,N1,20260526090044,N1,Y,,4,N1,13,,1,,,,,,,4,,1,2,,1,,,,,,,214,,,Y,N1,A2804593,2,,,5,5,,,,,,,경상남도,양산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베데스다복음병원,055-781-9911,A2800019,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,5,N1,31,N1,20260526115406,N1,Y,,3,N1,9,,,1,,,,,,3,,1,1,,1,,,,,,,110,,,Y,N1,A2800019,3,,,,,,,,,,,경상남도,양산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의령병원,055-573-6806,A2800090,,,,,,,,,0,,,,Y,,Y,N1,N1,Y,3,N1,30,N1,20260526115106,N1,N1,,,N1,4,,,1,,,,,,,,1,,,1,,,,,,,58,,,Y,N1,A2800090,1,,,,,,,,,,,경상남도,의령군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경상국립대학교병원,055-750-8282,A2800001,Y,Y,,3,1,3,2,0,3,1,8,Y,Y,Y,Y,Y,Y,Y,20,Y,258,Y,20260526115401,Y,Y,9,12,N1,34,3,2,3,14,8,9,15,30,15,7,3,3,5,15,9,20,6,4,17,,655,,6,Y,Y,A2800001,1,0,5,,,3,23,,5,7,,경상남도,진주시,,,,,22,2,,2,6,17,,20,40,2,,,2,6,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,
한일병원,055-750-1333,A2800043,,,,,,,1,,1,,,,Y,Y,Y,Y,Y,Y,13,N1,44,N1,20260526115202,N1,Y,,3,Y,17,,1,2,,,,,,4,,2,2,1,6,,,1,,,1,282,,,Y,N1,A2800043,2,1,,1,15,1,,,,,,경상남도,진주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
제일병원,055-750-7119,A2800003,,,,,,,1,,2,,,,Y,Y,Y,Y,N1,Y,11,N1,48,N1,20260526115416,N1,Y,,4,Y,17,,1,2,,,,,,7,,2,2,1,4,,,,,,1,258,,,Y,N1,A2800003,3,,,6,9,,,,,,,경상남도,진주시,,,,,,,,,,,,,,,,,,,Y,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반도병원,055-749-0200,A2800084,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,7,N1,81,N1,20260526115006,N1,Y,,3,N1,7,,,1,,,,,,3,,1,1,,3,,,,,,,165,,,Y,N1,A2800084,4,,,,,,,,,,,경상남도,진주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인 문병욱의료재단 진주고려병원,055-751-2525,A2800015,,,,,,,,,1,,,,Y,Y,Y,Y,N1,Y,9,N1,95,N1,20260526115159,N1,Y,,0,Y,10,,,1,,,,,,4,,2,2,1,4,,,,,,1,229,,,Y,N1,A2800015,5,,,3,9,,,,,,,경상남도,진주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진주복음병원,055-749-7119,A2800037,,,,,,,,,1,,,,Y,,Y,N1,N1,Y,7,N1,50,N1,20260526115445,N1,Y,,2,N1,9,,,1,,,,,,3,,1,1,,1,,,,,,,131,,,Y,N1,A2800037,6,,,,,,,,,,,경상남도,진주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
태황의료재단한성병원,055-530-5119,A2800062,,,,,,,,,1,,,,,,Y,N1,N1,N1,9,N1,62,N1,20260526115429,N1,N1,,,N1,9,,,1,,,,,,,,,,,,,,,,,,167,,,N1,N1,A2800062,1,,,,,,,,,,,경상남도,창녕군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
학교법인성균관대학삼성창원병원,055-233-6119,A2800020,Y,Y,,0,2,3,2,2,3,6,18,Y,Y,Y,Y,Y,Y,Y,1,Y,161,Y,20260526115436,Y,Y,6,5,N1,18,3,2,3,19,15,20,12,30,15,7,4,3,4,45,8,20,5,3,3,,645,,1,Y,Y,A2800020,1,0,,,,3,,,1,5,,경상남도,창원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
의료법인합포의료재단에스엠지연세병원,055-240-7777,A2800017,,,,,,,1,,2,,,,Y,Y,Y,Y,Y,Y,13,N1,65,N1,20260526115505,N1,Y,,4,N1,17,,1,2,,,,,,4,,1,2,1,7,,,1,,,,286,,,Y,N1,A2800017,2,0,,0,11,1,,,,,,경상남도,창원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
창원경상국립대학교병원,055-214-1339,A2803505,Y,Y,,,,,1,,2,,,Y,Y,Y,Y,Y,Y,Y,10,Y,172,Y,20260526115101,Y,Y,1,8,N1,18,,1,2,,,,17,,13,9,3,2,5,52,9,22,6,7,14,,437,,,Y,Y,A2803505,3,2,11,13,34,2,22,,6,6,,경상남도,창원시,,,5,0,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
