realtime_hospital_name,realtime_emergency_tel,hpid,pediatric_ventilator_status,incubator_status,avail_er_dedicated_icu_negative_pressure,avail_er_dedicated_icu_general_isolation,avail_icu_internal_medicine,avail_pediatric_beds,avail_er_negative_pressure_isolation_beds,avail_icu_surgery,avail_er_general_isolation_beds,avail_er_dedicated_icu,avail_er_dedicated_inpatient_beds,delivery_room_status,ct_status,angio_status,available_ambulance_yn,available_angio_yn,available_crrt_yn,available_ct_yn,avail_er_general_beds,available_ecmo_yn,avail_inpatient_general_beds,available_targeted_temperature_management_yn,realtime_updated_at,available_incubator_yn,available_mri_yn,avail_icu_neonatal,avail_operating_rooms,available_hyperbaric_oxygen_yn,standard_er_general_beds,standard_pediatric_beds,standard_er_negative_pressure_isolation_beds,standard_er_general_isolation_beds,standard_er_dedicated_icu,standard_icu_internal_medicine,standard_icu_surgery,standard_icu_neonatal,standard_er_dedicated_inpatient_beds,standard_operating_rooms,standard_delivery_rooms,standard_ct,standard_mri,standard_angio,standard_ventilator_general,standard_ventilator_premature,standard_incubator,standard_crrt,standard_ecmo,standard_targeted_temperature_management,standard_hyperbaric_oxygen,standard_inpatient_general_beds,standard_er_dedicated_icu_negative_pressure,standard_er_dedicated_icu_general_isolation,available_ventilator_yn,available_ventilator_premature_yn,old_hpid,avail_icu_negative_pressure_isolation,avail_psychiatric_closed_ward_beds,avail_icu_general,standard_icu_general,standard_icu_negative_pressure_isolation,standard_psychiatric_closed_ward_beds,avail_infection_moderate_beds,avail_inpatient_negative_pressure_isolation,standard_inpatient_negative_pressure_isolation,standard_infection_moderate_beds,query_sido,query_sigungu,avail_cohort_isolation,standard_cohort_isolation,avail_infection_severe_beds,avail_infection_semi_severe_beds,avail_trauma_dedicated_inpatient_beds,avail_trauma_dedicated_operating_rooms,avail_icu_neurosurgery,avail_trauma_resuscitation_room,avail_trauma_patient_care_area,avail_icu_trauma,standard_icu_neurosurgery,standard_icu_trauma,standard_trauma_dedicated_inpatient_beds,standard_trauma_dedicated_operating_rooms,standard_infection_severe_beds,standard_infection_semi_severe_beds,standard_trauma_resuscitation_room,standard_trauma_patient_care_area,avail_burn_treatment_room,standard_burn_treatment_room,avail_isolation_negative_pressure_area_beds,avail_isolation_general_area_beds,avail_icu_neurology,standard_icu_neurology,standard_isolation_negative_pressure_area_beds,standard_isolation_general_area_beds,avail_icu_pediatric,avail_icu_cardiology,standard_icu_pediatric,standard_icu_cardiology,avail_pediatric_general_isolation,avail_er_dedicated_inpatient_negative_pressure,avail_er_dedicated_inpatient_general_isolation,avail_infectious_disease_icu_beds,avail_infectious_disease_icu_negative_pressure_beds,standard_pediatric_general_isolation,standard_er_dedicated_inpatient_negative_pressure,standard_er_dedicated_inpatient_general_isolation,standard_infectious_disease_icu_beds,standard_infectious_disease_icu_negative_pressure_beds,avail_icu_thoracic_surgery,standard_icu_thoracic_surgery,avail_pediatric_negative_pressure_isolation,avail_er_dedicated_pediatric_icu,avail_er_dedicated_pediatric_inpatient_beds,standard_er_dedicated_pediatric_icu,standard_er_dedicated_pediatric_inpatient_beds,standard_pediatric_negative_pressure_isolation,collected_at
분당서울대학교병원,031-787-3119,A2100001,Y,Y,,3.0,1.0,2.0,2.0,10.0,2.0,3.0,18.0,Y,Y,Y,Y,Y,Y,Y,0,Y,367.0,Y,20260523193300,Y,Y,2.0,38.0,N1,30.0,5.0,2.0,3.0,15.0,13.0,13.0,35.0,30.0,39.0,3.0,11.0,11.0,11.0,128.0,17.0,39.0,16.0,8.0,8.0,,1247.0,,5.0,Y,Y,A2100001,1.0,1.0,5.0,8.0,1.0,15.0,,1.0,3.0,,경기도,성남시,,,9.0,,,,3.0,,0.0,,10.0,,,,9.0,,,2.0,,,,,,,,,0.0,5.0,6.0,9.0,,,,,5.0,,,,,5.0,,,,,,,,,2026-05-23 19:35:48
차의과학대학교분당차병원,031-780-5840,A2100030,Y,Y,2.0,0.0,3.0,5.0,,3.0,,0.0,17.0,Y,Y,Y,Y,Y,Y,Y,2,Y,215.0,Y,20260523193259,Y,Y,5.0,24.0,N1,22.0,11.0,,,14.0,9.0,8.0,35.0,43.0,26.0,8.0,5.0,3.0,4.0,40.0,26.0,46.0,6.0,2.0,2.0,,726.0,2.0,2.0,Y,Y,A2100030,0.0,4.0,,,4.0,22.0,,,,,경기도,성남시,0.0,0.0,,0.0,,,1.0,,,,7.0,,,,,1.0,,,,,2.0,2.0,,,2.0,3.0,,0.0,,6.0,1.0,,,,0.0,1.0,,,,0.0,,,1.0,1.0,6.0,2.0,6.0,1.0,2026-05-23 19:35:48
대진의료재단분당제생병원,031-779-0119,A2100025,Y,Y,,,4.0,2.0,1.0,8.0,2.0,,,Y,Y,Y,Y,Y,Y,Y,8,Y,185.0,Y,20260523193500,Y,Y,1.0,8.0,N1,24.0,3.0,1.0,2.0,,11.0,14.0,3.0,,9.0,2.0,4.0,3.0,3.0,22.0,1.0,5.0,5.0,2.0,3.0,,484.0,,,Y,Y,A2100025,4.0,,,,4.0,,,2.0,2.0,,경기도,성남시,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,7.0,,,,,7.0,,,,,,,,,2026-05-23 19:35:48
성남시의료원,031-738-7300,A2116806,,,,,,6.0,2.0,17.0,4.0,,,,Y,Y,Y,Y,Y,Y,14,Y,121.0,Y,20260523193500,N1,Y,,8.0,Y,17.0,6.0,2.0,4.0,,,25.0,,,8.0,,3.0,2.0,2.0,31.0,,,6.0,3.0,1.0,2.0,241.0,,,Y,N1,A2116806,2.0,,,,5.0,,,28.0,28.0,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
국군수도병원,031-725-6119,A2100258,,,,,,,0.0,,,,,,Y,Y,Y,Y,Y,Y,13,Y,159.0,N1,20260523193013,N1,Y,,9.0,N1,16.0,,2.0,,,,,,,9.0,,3.0,4.0,2.0,2.0,,,5.0,2.0,,,530.0,,,Y,N1,A2100258,1.0,2.0,5.0,12.0,1.0,15.0,,,,,경기도,성남시,,,1.0,6.0,10.0,,,,,14.0,,20.0,40.0,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
순천의료재단성남정병원,031-750-6003,A2100016,,,,,,,2.0,,,,,,Y,,Y,N1,N1,Y,8,N1,76.0,N1,20260523193148,N1,Y,,4.0,N1,9.0,,2.0,,,,,,,4.0,,1.0,1.0,,1.0,,,,,,,98.0,,,Y,N1,A2100016,,,,,,,,,,,경기도,성남시,,,,51.0,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,2026-05-23 19:35:48
성남중앙병원,031-799-5599,A2100011,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,8,N1,,N1,20260523193103,N1,Y,,5.0,N1,9.0,,,1.0,,,,,,5.0,,1.0,1.0,,2.0,,,,,,,,,,Y,N1,A2100011,,,,,,,,,,,경기도,성남시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
아주대학교병원,031-219-7777,A2100002,Y,Y,,0.0,0.0,5.0,0.0,2.0,0.0,4.0,26.0,Y,Y,Y,Y,Y,Y,Y,13,Y,261.0,Y,20260523193041,Y,Y,5.0,24.0,N1,30.0,9.0,0.0,0.0,16.0,14.0,10.0,36.0,42.0,25.0,3.0,8.0,6.0,9.0,126.0,27.0,34.0,32.0,9.0,7.0,,792.0,,2.0,Y,Y,A2100002,1.0,6.0,,,3.0,20.0,,7.0,8.0,,경기도,수원시,0.0,0.0,0.0,0.0,10.0,3.0,5.0,2.0,4.0,6.0,13.0,40.0,60.0,3.0,0.0,0.0,2.0,6.0,,,2.0,5.0,5.0,6.0,2.0,6.0,,4.0,,7.0,2.0,,,,,4.0,,,,,6.0,11.0,1.0,2.0,1.0,2.0,6.0,1.0,2026-05-23 19:35:48
의료법인명인의료재단화홍병원,031-8021-6829,A2117135,Y,,,,,,2.0,,3.0,,,,Y,,Y,N1,N1,Y,9,Y,59.0,N1,20260523193530,N1,Y,,6.0,Y,15.0,,2.0,3.0,,,,,,6.0,,2.0,2.0,,4.0,1.0,,,1.0,,1.0,228.0,,,Y,Y,A2117135,0.0,,8.0,29.0,1.0,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인녹산의료재단동수원병원,031-210-0119,A2100009,,Y,,,,,1.0,,2.0,,,Y,Y,Y,Y,Y,N,Y,9,N1,96.0,N1,20260523193439,Y,Y,,5.0,N1,17.0,,1.0,2.0,,,,,,5.0,1.0,2.0,2.0,1.0,15.0,,4.0,1.0,,,,339.0,,,Y,N1,A2100009,0.0,,4.0,20.0,3.0,,,1.0,1.0,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
가톨릭대학교성빈센트병원,031-249-7370,A2100012,Y,Y,,,4.0,5.0,2.0,7.0,1.0,2.0,,Y,Y,Y,Y,Y,Y,Y,4,Y,175.0,Y,20260523193508,Y,Y,2.0,19.0,N1,28.0,6.0,2.0,2.0,4.0,20.0,11.0,18.0,,19.0,2.0,5.0,4.0,6.0,52.0,7.0,18.0,12.0,4.0,4.0,,534.0,,,Y,Y,A2100012,1.0,6.0,,,5.0,30.0,,1.0,6.0,,경기도,수원시,,,,,,,9.0,,,,15.0,,,,,,,,,,,,,,,,,3.0,,8.0,1.0,,,,,1.0,,,,,0.0,8.0,1.0,2.0,3.0,2.0,6.0,1.0,2026-05-23 19:35:48
의료법인덕산의료재단수원덕산병원,031-686-2911,A2121061,N,Y,,,,3.0,1.0,,2.0,2.0,3.0,Y,Y,Y,Y,Y,Y,Y,16,Y,94.0,N1,20260523193503,Y,Y,,9.0,N1,24.0,3.0,1.0,2.0,2.0,,,,4.0,9.0,5.0,3.0,2.0,2.0,15.0,,2.0,5.0,2.0,,,403.0,,,Y,N,A2121061,1.0,,9.0,22.0,3.0,,,0.0,5.0,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
경기도의료원수원병원,031-888-0119,A2100032,,,,,,,,,2.0,,,,Y,,Y,N1,N1,Y,8,N1,56.0,N1,20260523193502,N1,Y,,3.0,N1,8.0,,,2.0,,,,,,3.0,,1.0,1.0,,9.0,,,,,,,156.0,,,Y,N1,A2100032,,,4.0,9.0,,,,2.0,2.0,,경기도,수원시,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인토마스의료재단윌스기념병원,031-240-6119,A2100175,,,,,,,1.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,12,N1,49.0,N1,20260523193302,N1,Y,,10.0,N1,18.0,,1.0,2.0,,,,,,10.0,1.0,1.0,4.0,1.0,1.0,,,1.0,,,,282.0,,,Y,N1,A2100175,1.0,,3.0,18.0,1.0,,,,,,경기도,수원시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인남촌의료재단시화병원,031-5189-0567,A2100008,,,,,,5.0,1.0,,5.0,,,Y,Y,Y,Y,Y,Y,Y,10,Y,99.0,N1,20260523193513,N1,Y,,7.0,N1,16.0,5.0,1.0,5.0,,,,,,7.0,1.0,3.0,3.0,2.0,29.0,,,4.0,2.0,,,461.0,,,Y,N1,A2100008,1.0,,3.0,35.0,1.0,,,1.0,1.0,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인석경의료재단센트럴병원,031-8041-3019,A2100027,,,,,,,1.0,,2.0,,,,Y,,Y,N1,Y,Y,16,N1,88.0,N1,20260523193342,N1,Y,,3.0,N1,18.0,,1.0,2.0,,,,,,3.0,,2.0,2.0,,7.0,,,2.0,,,,239.0,,,Y,N1,A2100027,,,4.0,20.0,,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인록향의료재단신천연합병원,031-310-6661,A2100013,,,,,,,,,1.0,,,,Y,,Y,N1,Y,Y,8,N1,29.0,N1,20260523193501,N1,Y,,3.0,N1,10.0,,,1.0,,,,,,3.0,,1.0,1.0,,4.0,,,1.0,,,,112.0,,,Y,N1,A2100013,1.0,,1.0,6.0,1.0,,,,,,경기도,시흥시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
고려대학교의과대학부속안산병원,031-412-5381,A2100003,Y,Y,1.0,,1.0,4.0,,5.0,3.0,10.0,25.0,Y,Y,Y,Y,Y,Y,Y,5,Y,182.0,Y,20260523193253,Y,Y,5.0,20.0,N1,22.0,4.0,,3.0,18.0,10.0,13.0,25.0,30.0,20.0,2.0,3.0,4.0,4.0,66.0,15.0,20.0,8.0,5.0,3.0,,605.0,2.0,,Y,Y,A2100003,0.0,10.0,3.0,6.0,1.0,16.0,,6.0,10.0,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
대아의료재단한도병원,031-8040-1129,A2100017,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,16,N1,86.0,N1,20260523193206,N1,Y,,6.0,N1,17.0,,1.0,2.0,,,,,,6.0,,3.0,2.0,2.0,20.0,,,2.0,,,,343.0,,,Y,N1,A2100017,0.0,,15.0,29.0,1.0,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인플러스의료재단단원병원,031-8040-5911,A2100021,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,17,Y,97.0,N1,20260523193311,N1,Y,,5.0,N1,17.0,,1.0,2.0,,,,,,5.0,,1.0,1.0,2.0,8.0,,,2.0,1.0,,,342.0,,,Y,N1,A2100021,1.0,,12.0,27.0,1.0,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,2026-05-23 19:35:48
근로복지공단안산병원,031-500-1119,A2100014,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,4,N1,103.0,N1,20260523193300,N1,Y,,3.0,N1,7.0,,,1.0,,,,,,3.0,,1.0,1.0,,14.0,,,,,,,359.0,,,Y,N1,A2100014,1.0,,12.0,18.0,1.0,,,0.0,2.0,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인칠석의료재단사랑의병원,031-502-0119,A2100124,,,,,,,1.0,,,,,,Y,,Y,N1,Y,Y,11,N1,65.0,N1,20260523193152,N1,Y,,5.0,N1,13.0,,1.0,,,,,,,5.0,,2.0,2.0,,8.0,,,1.0,,,,206.0,,,Y,N1,A2100124,,,0.0,14.0,,,,,,,경기도,안산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
경기도의료원안성병원,031-8046-5119,A2100045,,,,,,,1.0,,,,,,Y,,Y,N1,N1,Y,7,N1,64.0,N1,20260523193501,N1,Y,,5.0,N1,14.0,,1.0,,,,,,,5.0,,1.0,1.0,,8.0,,,,,,,178.0,,,Y,N1,A2100045,2.0,,3.0,13.0,2.0,,,7.0,8.0,,경기도,안성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
안성성모병원,031-675-8275,A2100305,,,,,,,,,1.0,,,,Y,,Y,N1,N1,Y,6,N1,91.0,N1,20260523193439,N1,Y,,2.0,N1,9.0,,,1.0,,,,,,3.0,,1.0,1.0,,7.0,,,,,,,188.0,,,Y,N1,A2100305,,,9.0,20.0,,,,,,,경기도,안성시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
한림대학교성심병원,031-380-1500,A2100004,Y,Y,1.0,,0.0,3.0,2.0,1.0,3.0,9.0,26.0,Y,Y,Y,Y,Y,Y,Y,3,Y,270.0,Y,20260523193425,Y,Y,8.0,18.0,N1,25.0,3.0,2.0,4.0,19.0,27.0,16.0,9.0,30.0,19.0,2.0,4.0,3.0,6.0,68.0,9.0,10.0,17.0,12.0,1.0,,610.0,1.0,,Y,Y,A2100004,1.0,8.0,,,3.0,20.0,,1.0,14.0,,경기도,안양시,,,,,,,,,,,,,,,,,,,,1.0,5.0,,0.0,8.0,5.0,,,,,,,,,,,,,,,,6.0,18.0,,,,,,,2026-05-23 19:35:48
효산의료재단안양샘병원,031-467-9119,A2100015,,,,,5.0,,1.0,1.0,2.0,,,,Y,Y,Y,Y,Y,Y,13,Y,102.0,N1,20260523193043,N1,Y,,6.0,N1,17.0,,1.0,2.0,,8.0,9.0,,,6.0,,2.0,1.0,2.0,12.0,,,2.0,1.0,,,306.0,,,Y,N1,A2100015,1.0,,,,1.0,,,,,,경기도,안양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
남양주한양병원,031-510-0119,A2100041,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,14,N1,79.0,N1,20260523193525,N1,Y,,,N1,17.0,,1.0,2.0,,,,,,,,2.0,2.0,1.0,33.0,,,2.0,,,,244.0,,,Y,N1,A2100041,-11.0,,1.0,17.0,3.0,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
현대병원,031-574-0114,A2100037,,,,,,,3.0,,,,,,Y,Y,Y,Y,Y,Y,12,N1,101.0,Y,20260523193347,N1,Y,,7.0,N1,17.0,,3.0,,,,,,,7.0,,2.0,2.0,2.0,50.0,,,17.0,,2.0,,342.0,,,Y,N1,A2100037,6.0,,3.0,19.0,20.0,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
엘병원,031-527-6119,A2118188,,,,,,,,,0.0,,,,Y,,Y,N1,N1,Y,5,N1,34.0,N1,20260523193345,N1,Y,,3.0,N1,8.0,,,2.0,,,,,,3.0,,1.0,1.0,,2.0,,,,,,,146.0,,,Y,N1,A2118188,1.0,,1.0,8.0,1.0,,,1.0,1.0,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
양평병원,031-770-5119,A2100089,N,N,,,,,,,1.0,,,N,Y,N,Y,N,N,Y,8,N,35.0,N,20260523193001,N,Y,,3.0,N,9.0,,,1.0,,,,,,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,,,Y,N,A2100089,,,,,,,,,,,경기도,양평군,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
세종여주병원,031-880-7754,A2100194,,,,,,,,,4.0,,,,Y,,Y,N1,N1,Y,2,N1,110.0,N1,20260523193502,N1,N,,1.0,N1,6.0,,,4.0,,,,,,2.0,,1.0,1.0,,4.0,,,,,,,196.0,,,Y,N1,A2100194,,,,,,,,,,,경기도,여주시,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
연천군보건의료원,031-839-4119,E2100187,,,,,,,,,,,,,Y,,Y,N1,N1,Y,10,N1,50.0,N1,20260523193306,N1,N1,,2.0,N1,10.0,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,52.0,,,Y,N1,E2100187,,,,,,,,,,,경기도,연천군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
오산한국병원,031-378-5119,A2100024,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,12,N1,56.0,Y,20260523193259,N1,Y,,5.0,N1,17.0,,1.0,2.0,,,,,,5.0,,2.0,2.0,2.0,17.0,,,2.0,,1.0,,262.0,,,Y,N1,A2100024,1.0,,8.0,34.0,1.0,,,2.0,2.0,,경기도,오산시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
연세대학교의과대학용인세브란스병원,031-5189-9001,A2100020,Y,Y,,,2.0,6.0,1.0,2.0,2.0,,,Y,Y,Y,Y,Y,Y,Y,8,Y,195.0,Y,20260523193235,Y,Y,1.0,15.0,N1,16.0,6.0,1.0,3.0,,19.0,16.0,12.0,,15.0,2.0,3.0,3.0,4.0,31.0,6.0,18.0,6.0,3.0,4.0,,597.0,,,Y,Y,A2100020,2.0,,,,2.0,,,3.0,4.0,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
강남병원,031-300-0119,A2100029,,,,,,,1.0,,2.0,,,,Y,,Y,N1,Y,Y,11,N1,51.0,N1,20260523193245,N1,Y,,4.0,N1,17.0,,1.0,2.0,,,,,,4.0,,2.0,2.0,,7.0,,,2.0,,,,264.0,,,Y,N1,A2100029,0.0,,7.0,31.0,1.0,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
(의)영문의료재단 다보스병원,031-8021-2130,A2100019,,,,,,,1.0,,2.0,,,,Y,,Y,N1,Y,Y,7,N1,47.0,N1,20260523193339,N1,Y,,6.0,N1,13.0,,1.0,2.0,,,,,,6.0,,1.0,1.0,,7.0,,,1.0,,,,225.0,,,Y,N1,A2100019,0.0,,5.0,25.0,1.0,,,,,,경기도,용인시,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
(의)효심의료재단용인서울병원,031-336-0119,A2100122,,,,,,,,,,,,,Y,,Y,N1,N1,Y,8,N1,144.0,N1,20260523193424,N1,Y,,3.0,N1,10.0,,,,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,201.0,,,Y,N1,A2100122,,,,,,,,,,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
메디필드한강병원,031-332-1119,A2121142,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,13,N1,164.0,N1,20260523193201,N1,Y,,6.0,N1,17.0,,1.0,2.0,,,,,,6.0,,3.0,2.0,1.0,13.0,,,2.0,,,,192.0,,,Y,N1,A2121142,1.0,,9.0,15.0,1.0,,,1.0,1.0,,경기도,용인시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
가톨릭대학교의정부성모병원,031-820-5200,A2100040,Y,Y,1.0,1.0,,8.0,2.0,,4.0,10.0,22.0,Y,Y,Y,Y,Y,Y,Y,17,Y,208.0,Y,20260523193508,Y,Y,0.0,13.0,N1,42.0,11.0,2.0,4.0,18.0,,,15.0,30.0,13.0,3.0,4.0,3.0,4.0,54.0,10.0,28.0,12.0,4.0,3.0,,519.0,1.0,1.0,Y,Y,A2100040,0.0,,5.0,26.0,4.0,,,,,,경기도,의정부시,,,,,9.0,2.0,,2.0,6.0,7.0,,20.0,53.0,2.0,,,2.0,6.0,,,,,,,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
학교법인을지학원의정부을지대학교병원,031-8074-0119,A2117994,Y,Y,,,9.0,0.0,1.0,6.0,2.0,,,Y,Y,Y,Y,Y,Y,Y,8,Y,247.0,Y,20260523193101,Y,Y,3.0,11.0,N1,22.0,0.0,1.0,2.0,,29.0,22.0,5.0,,14.0,8.0,3.0,3.0,4.0,48.0,5.0,5.0,6.0,3.0,2.0,,588.0,,,Y,Y,A2117994,2.0,9.0,,,2.0,22.0,,3.0,6.0,,경기도,의정부시,2.0,4.0,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
의료법인영동의료재단의정부백병원,031-842-1211,A2100034,,,,,,,,,2.0,,,,Y,,Y,N1,N1,Y,9,N1,92.0,N1,20260523193411,N1,Y,,3.0,N1,10.0,,,2.0,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,192.0,,,Y,N1,A2100034,,,0.0,9.0,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
추병원,031-845-8313,A2100150,,,,,,,1.0,,1.0,,,,Y,Y,Y,Y,N1,Y,10,N1,77.0,N1,20260523193339,N1,N,,3.0,N1,12.0,,1.0,1.0,,,,,,3.0,,2.0,1.0,1.0,1.0,,,,,,,210.0,,,Y,N1,A2100150,,,3.0,15.0,,,,,,,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
경기도의료원의정부병원,031-828-5119,A2100043,,,,,,,1.0,,,,,,Y,,Y,N1,N1,Y,10,N1,25.0,N1,20260523193501,N1,Y,,3.0,N1,10.0,,1.0,,,,,,,3.0,,1.0,1.0,,8.0,,,,,,,86.0,,,Y,N1,A2100043,,22.0,2.0,6.0,,70.0,0.0,4.0,5.0,0.0,경기도,의정부시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
경기도의료원이천병원,031-630-4333,A2100193,,,,,,,1.0,,1.0,,,,Y,,Y,N1,N1,Y,13,N1,58.0,N1,20260523193401,N1,Y,,4.0,N1,17.0,,1.0,2.0,,,,,,4.0,,1.0,1.0,,8.0,,,,,,,190.0,,,Y,N1,A2100193,2.0,,4.0,8.0,2.0,,,6.0,6.0,,경기도,이천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
경기도의료원파주병원,031-940-9119,A2100035,,,,,,,1.0,,2.0,,,Y,Y,,Y,N1,N1,Y,10,N1,90.0,N1,20260523193302,N1,Y,,3.0,N1,17.0,,1.0,2.0,,,,,,3.0,1.0,1.0,1.0,,9.0,,,,,,,192.0,,,Y,N1,A2100035,,,3.0,8.0,,,,,,,경기도,파주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
메디인병원,031-570-7912,A2100131,,,,,,,,,2.0,,,,Y,Y,Y,Y,N1,Y,10,N1,72.0,N1,20260523193129,N1,Y,,4.0,N1,12.0,,,2.0,,,,,,4.0,,1.0,1.0,1.0,2.0,,,,,,,206.0,,,Y,N1,A2100131,,,,,,,,,,,경기도,파주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48
