hpid,old_hpid_x,hospital_name,dutyAddr,sido,sigungu,emergency_type_code,emergency_type_name,tel_main,emergency_tel,lat,lon,realtime_hospital_name,realtime_emergency_tel,pediatric_ventilator_status,incubator_status,avail_er_dedicated_icu_negative_pressure,avail_er_dedicated_icu_general_isolation,avail_icu_internal_medicine,avail_pediatric_beds,avail_er_negative_pressure_isolation_beds,avail_icu_surgery,avail_er_general_isolation_beds,avail_er_dedicated_icu,avail_er_dedicated_inpatient_beds,delivery_room_status,ct_status,angio_status,available_ambulance_yn,available_angio_yn,available_crrt_yn,available_ct_yn,avail_er_general_beds,available_ecmo_yn,avail_inpatient_general_beds,available_targeted_temperature_management_yn,realtime_updated_at,available_incubator_yn,available_mri_yn,avail_icu_neonatal,avail_operating_rooms,available_hyperbaric_oxygen_yn,standard_er_general_beds,standard_pediatric_beds,standard_er_negative_pressure_isolation_beds,standard_er_general_isolation_beds,standard_er_dedicated_icu,standard_icu_internal_medicine,standard_icu_surgery,standard_icu_neonatal,standard_er_dedicated_inpatient_beds,standard_operating_rooms,standard_delivery_rooms,standard_ct,standard_mri,standard_angio,standard_ventilator_general,standard_ventilator_premature,standard_incubator,standard_crrt,standard_ecmo,standard_targeted_temperature_management,standard_hyperbaric_oxygen,standard_inpatient_general_beds,standard_er_dedicated_icu_negative_pressure,standard_er_dedicated_icu_general_isolation,available_ventilator_yn,available_ventilator_premature_yn,old_hpid_y,avail_icu_negative_pressure_isolation,avail_psychiatric_closed_ward_beds,avail_icu_general,standard_icu_general,standard_icu_negative_pressure_isolation,standard_psychiatric_closed_ward_beds,avail_infection_moderate_beds,avail_inpatient_negative_pressure_isolation,standard_inpatient_negative_pressure_isolation,standard_infection_moderate_beds,query_sido,query_sigungu,avail_cohort_isolation,standard_cohort_isolation,avail_infection_severe_beds,avail_infection_semi_severe_beds,avail_trauma_dedicated_inpatient_beds,avail_trauma_dedicated_operating_rooms,avail_icu_neurosurgery,avail_trauma_resuscitation_room,avail_trauma_patient_care_area,avail_icu_trauma,standard_icu_neurosurgery,standard_icu_trauma,standard_trauma_dedicated_inpatient_beds,standard_trauma_dedicated_operating_rooms,standard_infection_severe_beds,standard_infection_semi_severe_beds,standard_trauma_resuscitation_room,standard_trauma_patient_care_area,avail_burn_treatment_room,standard_burn_treatment_room,avail_isolation_negative_pressure_area_beds,avail_isolation_general_area_beds,avail_icu_neurology,standard_icu_neurology,standard_isolation_negative_pressure_area_beds,standard_isolation_general_area_beds,avail_icu_pediatric,avail_icu_cardiology,standard_icu_pediatric,standard_icu_cardiology,avail_pediatric_general_isolation,avail_er_dedicated_inpatient_negative_pressure,avail_er_dedicated_inpatient_general_isolation,avail_infectious_disease_icu_beds,avail_infectious_disease_icu_negative_pressure_beds,standard_pediatric_general_isolation,standard_er_dedicated_inpatient_negative_pressure,standard_er_dedicated_inpatient_general_isolation,standard_infectious_disease_icu_beds,standard_infectious_disease_icu_negative_pressure_beds,avail_icu_thoracic_surgery,standard_icu_thoracic_surgery,avail_pediatric_negative_pressure_isolation,avail_er_dedicated_pediatric_icu,avail_er_dedicated_pediatric_inpatient_beds,standard_er_dedicated_pediatric_icu,standard_er_dedicated_pediatric_inpatient_beds,standard_pediatric_negative_pressure_isolation,collected_at,severe_hospital_name,severe_myocardial_infarction_reperfusion_yn,severe_infant_intussusception_obstruction_yn,severe_adult_gi_emergency_endoscopy_yn,severe_infant_gi_emergency_endoscopy_yn,severe_adult_bronchial_emergency_endoscopy_yn,severe_infant_bronchial_emergency_endoscopy_yn,severe_low_birth_weight_infant_intensive_care_yn,severe_obstetric_delivery_yn,severe_obstetric_surgery_yn,severe_gynecologic_surgery_yn,severe_burn_specialized_treatment_yn,severe_cerebral_infarction_reperfusion_yn,severe_finger_toe_replantation_yn,severe_other_limb_replantation_yn,severe_emergency_dialysis_hd_yn,severe_emergency_dialysis_crrt_yn,severe_psychiatric_emergency_closed_ward_yn,severe_ophthalmic_emergency_surgery_yn,severe_adult_interventional_radiology_yn,severe_infant_interventional_radiology_yn,severe_er_gatekeeper_yn,severe_subarachnoid_hemorrhage_surgery_yn,severe_other_cerebral_hemorrhage_surgery_yn,severe_thoracic_aortic_emergency_yn,severe_abdominal_aortic_emergency_yn,severe_gallbladder_disease_yn,severe_biliary_tract_disease_yn,severe_nontraumatic_abdominal_emergency_surgery_yn,severe_infant_intussusception_obstruction_msg,severe_infant_gi_emergency_endoscopy_msg,severe_low_birth_weight_infant_msg,severe_infant_interventional_radiology_msg,query_sido_severe,query_sigungu_severe,severe_infant_bronchial_emergency_endoscopy_msg,severe_collected_at
A2100058,A2100058,부천우리병원,경기도 부천시 오정구 소사로 726 (원종동),경기도,부천시,G009,응급실운영신고기관,032-672-4100,032-672-2400,37.52438752921628,126.8051855988659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2100055,A2100055,부천세종병원,"경기도 부천시 소사구 호현로489번길 28 (소사본동, 세종병원)",경기도,부천시,G006,지역응급의료센터,1599-6677,032-340-1119,37.4810049006,126.7911674323,부천세종병원,032-340-1119,Y,Y,,,,,1.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,13.0,Y,93.0,Y,20260523193510,Y,Y,,6.0,N1,17.0,,1.0,2.0,,,,,,6.0,1.0,2.0,1.0,5.0,18.0,1.0,1.0,5.0,4.0,1.0,,271.0,,,Y,Y,A2100055,0.0,,5.0,22.0,2.0,,,1.0,6.0,,경기도,부천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,부천세종병원,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,N,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,부천시,,2026-05-23 19:35:48
A2100135,A2100135,동두천중앙성모병원,경기도 동두천시 동광로 53 (생연동),경기도,동두천시,G009,응급실운영신고기관,031-863-0550,031-863-1339,37.90888404022765,127.05398051509536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2100208,A2100208,원병원,경기도 남양주시 화도읍 경춘로 1943-16,경기도,남양주시,G009,응급실운영신고기관,031-590-3114,031-5903-1189,37.651957172510606,127.30437739416752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2118188,A2118188,엘병원,"경기도 남양주시 퇴계원읍 퇴계원로 20, 지하2~지상7층 일부제외호",경기도,남양주시,G007,지역응급의료기관,1899-3377,031-527-6119,37.6487334911668,127.141048740049,엘병원,031-527-6119,,,,,,,,,0.0,,,,Y,,Y,N1,N1,Y,5.0,N1,34.0,N1,20260523193345,N1,Y,,3.0,N1,8.0,,,2.0,,,,,,3.0,,1.0,1.0,,2.0,,,,,,,146.0,,,Y,N1,A2118188,1.0,,1.0,8.0,1.0,,,1.0,1.0,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,엘병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,양주시,,2026-05-23 19:35:48
A2100037,A2100037,현대병원,경기도 남양주시 진접읍 봉현로 21,경기도,남양주시,G006,지역응급의료센터,031-574-9118~9,031-574-0114,37.715486551355895,127.17984989970032,현대병원,031-574-0114,,,,,,,3.0,,,,,,Y,Y,Y,Y,Y,Y,12.0,N1,101.0,Y,20260523193347,N1,Y,,7.0,N1,17.0,,3.0,,,,,,,7.0,,2.0,2.0,2.0,50.0,,,17.0,,2.0,,342.0,,,Y,N1,A2100037,6.0,,3.0,19.0,20.0,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,현대병원,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,양주시,,2026-05-23 19:35:48
A2100041,A2100041,남양주한양병원,경기도 남양주시 오남읍 양지로 47-55,경기도,남양주시,G006,지역응급의료센터,031-510-0114,031-510-0119,37.68238094157572,127.2043136287129,남양주한양병원,031-510-0119,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,14.0,N1,79.0,N1,20260523193525,N1,Y,,,N1,17.0,,1.0,2.0,,,,,,,,2.0,2.0,1.0,33.0,,,2.0,,,,244.0,,,Y,N1,A2100041,-11.0,,1.0,17.0,3.0,,,,,,경기도,양주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,남양주한양병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,N,N,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,양주시,,2026-05-23 19:35:48
A2120077,A2120077,혜성병원,"경기도 남양주시 경춘로1308번길 4, 1층일부~10층 (평내동)",경기도,남양주시,G009,응급실운영신고기관,0318151119,,37.6501095660175,127.238321935956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2100006,A2100006,의료법인인봉의료재단뉴고려병원,"경기도 김포시 김포한강3로 283, 뉴고려병원 (장기동)",경기도,김포시,G006,지역응급의료센터,031-998-8129,031-980-9119,37.64095507933562,126.66022763544731,의료법인인봉의료재단뉴고려병원,031-980-9119,,,,,,,1.0,,2.0,,,,Y,Y,Y,Y,Y,Y,8.0,N1,92.0,N1,20260523193500,N1,Y,,6.0,N1,14.0,,1.0,2.0,,,,,,6.0,,2.0,2.0,2.0,7.0,,,1.0,,,,278.0,,,Y,N1,A2100006,7.0,,4.0,24.0,10.0,,,,,,경기도,김포시,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인인봉의료재단뉴고려병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,경기도,김포시,,2026-05-23 19:35:48
A2100053,A2100053,의료법인우리의료재단김포우리병원,"경기도 김포시 감암로 11, 김포우리병원 (걸포동)",경기도,김포시,G006,지역응급의료센터,031-999-1000,031-999-1119,37.632530143647166,126.7105272263707,의료법인우리의료재단김포우리병원,031-999-1119,,,,,,,1.0,,6.0,,,,Y,Y,Y,Y,Y,Y,10.0,Y,83.0,Y,20260523193417,N1,Y,,7.0,N1,22.0,,1.0,6.0,,,,,,7.0,,2.0,2.0,2.0,48.0,,,4.0,1.0,2.0,,477.0,,,Y,N1,A2100053,0.0,,1.0,36.0,1.0,,0.0,2.0,11.0,0.0,경기도,김포시,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인우리의료재단김포우리병원,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,Y,Y,,,,,경기도,김포시,,2026-05-23 19:35:48
A2100048,A2100048,원광대학교산본병원,경기도 군포시 산본로 321 (산본동),경기도,군포시,G006,지역응급의료센터,031-390-2300,031-390-2345,37.359787179442414,126.93330716393872,원광대학교산본병원,031-390-2345,,,,,,,0.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,11.0,N1,71.0,N1,20260523193207,N1,Y,,5.0,N1,17.0,,1.0,2.0,,,,,,5.0,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,188.0,,,Y,N1,A2100048,,,5.0,12.0,,,,,,,경기도,군포시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,원광대학교산본병원,N,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,N,Y,Y,,,,,경기도,군포시,,2026-05-23 19:35:48
A2100054,A2100054,효산의료재단지샘병원,"경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)",경기도,군포시,G006,지역응급의료센터,031-389-3000,031-389-3119,37.35864464913468,126.94735972779895,효산의료재단지샘병원,031-389-3119,,,,,,,2.0,,1.0,,,,Y,Y,Y,Y,Y,Y,12.0,N1,114.0,N1,20260523193528,N1,Y,,5.0,N1,18.0,,2.0,1.0,,,,,,5.0,,2.0,1.0,3.0,11.0,,,2.0,,,,367.0,,,Y,N1,A2100054,1.0,,9.0,18.0,1.0,,,0.0,2.0,,경기도,군포시,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,효산의료재단지샘병원,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,,,,,경기도,군포시,,2026-05-23 19:35:48
A2100039,A2100039,한양대학교구리병원,경기도 구리시 경춘로 153 (교문동),경기도,구리시,G006,지역응급의료센터,031-1644-9118,1644-9118,37.6012760077,127.13250756940002,한양대학교구리병원,1644-9118,Y,Y,,,1.0,,2.0,3.0,2.0,,,Y,Y,Y,Y,Y,Y,Y,7.0,Y,176.0,Y,20260523193300,Y,Y,7.0,8.0,N1,18.0,,3.0,2.0,,17.0,14.0,10.0,,9.0,1.0,3.0,2.0,3.0,21.0,6.0,14.0,4.0,2.0,2.0,,488.0,,,Y,Y,A2100039,,,,,,,,2.0,5.0,,경기도,구리시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,한양대학교구리병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,,,,,경기도,구리시,,2026-05-23 19:35:48
A2100116,A2100116,윤서병원,경기도 구리시 건원대로 47 (인창동),경기도,구리시,G009,응급실운영신고기관,031-553-6650,031-564-2222,37.60519852568096,127.13961137900536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2100155,A2100155,참조은병원,경기도 광주시 광주대로 45 (경안동),경기도,광주시,G006,지역응급의료센터,1600-9955,031-881-9119,37.41095382720454,127.26022384023878,참조은병원,031-881-9119,,,,,,1.0,1.0,,3.0,,,,Y,Y,Y,Y,Y,Y,-1.0,N1,84.0,Y,20260523193510,N1,Y,,7.0,N1,9.0,1.0,1.0,3.0,,,,,,7.0,,3.0,3.0,2.0,18.0,,,3.0,,2.0,,286.0,,,Y,N1,A2100155,0.0,,2.0,24.0,1.0,,,1.0,2.0,,경기도,광주시,6.0,6.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,참조은병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,,,,,경기도,광주시,,2026-05-23 19:35:48
A2100007,A2100007,광명성애병원,"경기도 광명시 디지털로 36, 광명성애병원 (철산동)",경기도,광명시,G006,지역응급의료센터,02-2680-7114,02-2680-7116,37.4734614743463,126.87192258470483,광명성애병원,02-2680-7116,Y,Y,,,,4.0,1.0,,4.0,,,Y,Y,Y,Y,Y,Y,Y,7.0,N1,74.0,N1,20260523193441,Y,Y,,5.0,N1,11.0,4.0,1.0,4.0,,,,,,5.0,2.0,2.0,2.0,1.0,12.0,2.0,5.0,1.0,,,,189.0,,,Y,Y,A2100007,0.0,,9.0,13.0,1.0,,22.0,,,50.0,경기도,광명시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,광명성애병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,광명시,,2026-05-23 19:35:48
A2118788,A2118788,중앙대학교광명병원,경기도 광명시 덕안로 110(일직동),경기도,광명시,G006,지역응급의료센터,1811-7800,02-2222-1351,37.4245974351169,126.885910072451,중앙대학교광명병원,02-2222-1351,Y,Y,,,,,1.0,,2.0,,,Y,Y,Y,Y,Y,Y,Y,14.0,Y,247.0,Y,20260523193507,Y,Y,3.0,17.0,N1,21.0,,1.0,2.0,,,,16.0,,17.0,2.0,2.0,2.0,5.0,28.0,6.0,16.0,5.0,4.0,10.0,,584.0,,,Y,Y,A2118788,3.0,,7.0,24.0,6.0,,,0.0,2.0,,경기도,광명시,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,5.0,0.0,0.0,,3.0,,5.0,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,중앙대학교광명병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,광명시,,2026-05-23 19:35:48
A2100038,A2100038,인제대학교일산백병원,경기도 고양시 일산서구 주화로 170 (대화동),경기도,고양시,G006,지역응급의료센터,031-910-7114,031-910-7114,37.67436543525074,126.75031388046008,인제대학교일산백병원,031-910-7114,N,N,,,2.0,,3.0,2.0,3.0,,,Y,Y,Y,Y,Y,Y,Y,16.0,Y,217.0,Y,20260523193420,N,Y,,16.0,N1,34.0,,3.0,3.0,,25.0,32.0,,,17.0,3.0,3.0,3.0,4.0,53.0,18.0,22.0,7.0,3.0,1.0,,534.0,,,Y,N,A2100038,2.0,6.0,,,4.0,16.0,,1.0,2.0,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,2026-05-23 19:35:48,인제대학교일산백병원,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,UNKNOWN,Y,Y,UNKNOWN,Y,,,,,경기도,고양시,,2026-05-23 19:35:48
A2116972,A2116972,의료법인성광의료재단일산차병원,"경기도 고양시 일산동구 중앙로 1205, 지하1층(일부),지하2층,지하4층(일부),1층(일부),2층(일부),3층(일부),4~5층,6층(일부), 7~10층 (장항동)",경기도,고양시,G007,지역응급의료기관,031-782-8300,031-782-8587,37.65413326289407,126.77574306091104,의료법인성광의료재단일산차병원,031-782-8587,Y,Y,,,,,,,2.0,,,Y,,,Y,N1,N1,N1,1.0,N1,77.0,N1,20260523193355,Y,N1,0.0,10.0,N1,6.0,,,4.0,,,,17.0,,10.0,9.0,,,,4.0,11.0,19.0,,,,,179.0,,,Y,Y,A2116972,1.0,,3.0,4.0,1.0,,,1.0,1.0,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,의료법인성광의료재단일산차병원,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
A2100049,A2100049,국립암센터,경기도 고양시 일산동구 일산로 323 (마두동),경기도,고양시,G007,지역응급의료기관,031-920-0114,031-920-0119,37.664170778165285,126.78327945120732,국립암센터,031-920-0119,,N,,,,,,,1.0,,,,Y,Y,Y,Y,Y,Y,15.0,Y,124.0,Y,20260523193200,N,Y,,18.0,N1,24.0,,,1.0,,,,,,18.0,,7.0,5.0,3.0,29.0,,1.0,8.0,2.0,7.0,,554.0,,,Y,N1,A2100049,9.0,,10.0,19.0,9.0,,,,,,경기도,고양시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,국립암센터,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
A2100033,A2100033,국민건강보험공단일산병원,"경기도 고양시 일산동구 일산로 100 (백석동,백석1동 1241외1필지 4층)",경기도,고양시,G001,권역응급의료센터,1577-0013,031-900-0761,37.64530592402248,126.792204040477,국민건강보험공단일산병원,031-900-0761,Y,Y,1.0,,2.0,3.0,2.0,9.0,3.0,7.0,10.0,Y,Y,Y,Y,Y,Y,Y,6.0,Y,180.0,N1,20260523193003,Y,Y,0.0,1.0,N1,23.0,5.0,2.0,3.0,19.0,10.0,16.0,20.0,29.0,2.0,2.0,4.0,3.0,3.0,60.0,8.0,28.0,13.0,5.0,,,648.0,1.0,,Y,Y,A2100033,8.0,11.0,,,11.0,28.0,0.0,2.0,4.0,0.0,경기도,고양시,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,6.0,,6.0,,1.0,,0.0,0.0,,1.0,,0.0,0.0,,,,,,,,,2026-05-23 19:35:48,국민건강보험공단일산병원,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,Y,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,Y,,,,,경기도,고양시,,2026-05-23 19:35:48
A2100047,A2100047,동국대학교일산불교병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",경기도,고양시,G006,지역응급의료센터,031-1577-7000,031-961-7777,37.67643677699999,126.8055658392,동국대학교일산불교병원,031-961-7777,Y,Y,,,4.0,3.0,1.0,17.0,3.0,,,Y,Y,Y,Y,Y,Y,Y,8.0,Y,275.0,Y,20260523193446,Y,Y,10.0,12.0,N1,19.0,3.0,1.0,3.0,,16.0,20.0,13.0,,12.0,8.0,2.0,2.0,2.0,19.0,13.0,25.0,4.0,2.0,1.0,,522.0,,,Y,Y,A2100047,0.0,8.0,,,4.0,15.0,,0.0,0.0,,경기도,고양시,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-23 19:35:48,동국대학교일산불교병원,Y,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,UNKNOWN,Y,Y,Y,UNKNOWN,Y,UNKNOWN,Y,Y,Y,Y,Y,Y,Y,UNKNOWN,,,,,경기도,고양시,,2026-05-23 19:35:48
A2100283,A2100283,의료법인일산복음병원,"경기도 고양시 일산동구 고양대로 760, 가동 (중산동, 일산복음병원)",경기도,고양시,G009,응급실운영신고기관,031-977-5000,031-929-0330,37.68205457051212,126.7801254241406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
